,Date,Count,WeekDate,WeekCount
271,2015-08-27,3957.0,2015-08-24,52572.0
272,2015-08-28,6381.0,2015-08-24,52572.0
273,2015-08-29,4395.0,2015-08-24,52572.0
274,2015-08-30,12090.0,2015-08-24,52572.0
275,2015-08-31,9890.0,2015-08-31,79190.0
276,2015-09-01,11094.0,2015-08-31,79190.0
277,2015-09-02,8328.0,2015-08-31,79190.0
278,2015-09-03,11791.0,2015-08-31,79190.0
279,2015-09-04,7066.0,2015-08-31,79190.0
280,2015-09-05,16448.0,2015-08-31,79190.0
281,2015-09-06,14573.0,2015-08-31,79190.0
282,2015-09-07,6323.0,2015-09-07,72559.0
283,2015-09-08,16362.0,2015-09-07,72559.0
284,2015-09-09,8736.0,2015-09-07,72559.0
285,2015-09-10,11957.0,2015-09-07,72559.0
286,2015-09-11,12653.0,2015-09-07,72559.0
287,2015-09-12,7158.0,2015-09-07,72559.0
288,2015-09-13,9370.0,2015-09-07,72559.0
289,2015-09-14,4819.0,2015-09-14,44562.0
290,2015-09-15,2299.0,2015-09-14,44562.0
291,2015-09-16,7588.0,2015-09-14,44562.0
292,2015-09-17,5941.0,2015-09-14,44562.0
293,2015-09-18,9995.0,2015-09-14,44562.0
294,2015-09-19,2247.0,2015-09-14,44562.0
295,2015-09-20,11673.0,2015-09-14,44562.0
296,2015-09-21,5460.0,2015-09-21,38753.0
297,2015-09-22,9312.0,2015-09-21,38753.0
298,2015-09-23,3710.0,2015-09-21,38753.0
299,2015-09-24,4612.0,2015-09-21,38753.0
300,2015-09-25,5774.0,2015-09-21,38753.0
301,2015-09-26,5966.0,2015-09-21,38753.0
302,2015-09-27,3919.0,2015-09-21,38753.0
303,2015-09-28,4533.0,2015-09-28,60096.0
304,2015-09-29,4300.0,2015-09-28,60096.0
305,2015-09-30,9635.0,2015-09-28,60096.0
306,2015-10-01,7514.0,2015-09-28,60096.0
307,2015-10-02,16542.0,2015-09-28,60096.0
308,2015-10-03,6866.0,2015-09-28,60096.0
309,2015-10-04,10706.0,2015-09-28,60096.0
310,2015-10-05,6639.0,2015-10-05,57323.0
311,2015-10-06,4484.0,2015-10-05,57323.0
312,2015-10-07,5684.0,2015-10-05,57323.0
313,2015-10-08,5594.0,2015-10-05,57323.0
314,2015-10-09,10814.0,2015-10-05,57323.0
315,2015-10-10,11401.0,2015-10-05,57323.0
