Date,Count,WeekDate,WeekCount
2018-09-09,14222.0,2018-09-03,74701.0
2018-09-10,5976.0,2018-09-10,56166.0
2018-09-11,6266.0,2018-09-10,56166.0
2018-09-12,8392.0,2018-09-10,56166.0
2018-09-13,8974.0,2018-09-10,56166.0
2018-09-14,11529.0,2018-09-10,56166.0
2018-09-15,4894.0,2018-09-10,56166.0
2018-09-16,10135.0,2018-09-10,56166.0
2018-09-17,7326.0,2018-09-17,60614.0
2018-09-18,12641.0,2018-09-17,60614.0
2018-09-19,5275.0,2018-09-17,60614.0
2018-09-20,5267.0,2018-09-17,60614.0
2018-09-21,13254.0,2018-09-17,60614.0
2018-09-22,8296.0,2018-09-17,60614.0
2018-09-23,8555.0,2018-09-17,60614.0
2018-09-24,4517.0,2018-09-24,65314.0
2018-09-25,6247.0,2018-09-24,65314.0
2018-09-26,10862.0,2018-09-24,65314.0
2018-09-27,9107.0,2018-09-24,65314.0
2018-09-28,17840.0,2018-09-24,65314.0
2018-09-29,3558.0,2018-09-24,65314.0
2018-09-30,13183.0,2018-09-24,65314.0
2018-10-01,8173.0,2018-10-01,104379.0
2018-10-02,14948.0,2018-10-01,104379.0
2018-10-03,17852.0,2018-10-01,104379.0
2018-10-04,12740.0,2018-10-01,104379.0
2018-10-05,8367.0,2018-10-01,104379.0
2018-10-06,24026.0,2018-10-01,104379.0
2018-10-07,18273.0,2018-10-01,104379.0
2018-10-08,8310.0,2018-10-08,70479.0
2018-10-09,10665.0,2018-10-08,70479.0
2018-10-10,9754.0,2018-10-08,70479.0
2018-10-11,6370.0,2018-10-08,70479.0
2018-10-12,17785.0,2018-10-08,70479.0
2018-10-13,12922.0,2018-10-08,70479.0
2018-10-14,4673.0,2018-10-08,70479.0
2018-10-15,13495.0,2018-10-15,69544.0
2018-10-16,13199.0,2018-10-15,69544.0
2018-10-17,13111.0,2018-10-15,69544.0
2018-10-18,12665.0,2018-10-15,69544.0
2018-10-19,8462.0,2018-10-15,69544.0
2018-10-20,5795.0,2018-10-15,69544.0
2018-10-21,2817.0,2018-10-15,69544.0
2018-10-22,18763.0,2018-10-22,99857.0
2018-10-23,17933.0,2018-10-22,99857.0
2018-10-24,21863.0,2018-10-22,99857.0
2018-10-25,13561.0,2018-10-22,99857.0
2018-10-26,12398.0,2018-10-22,99857.0
2018-10-27,7721.0,2018-10-22,99857.0
2018-10-28,7618.0,2018-10-22,99857.0
2018-10-29,9690.0,2018-10-29,60545.0
2018-10-30,17147.0,2018-10-29,60545.0
2018-10-31,9468.0,2018-10-29,60545.0
2018-11-01,5097.0,2018-10-29,60545.0
2018-11-02,4118.0,2018-10-29,60545.0
2018-11-03,9136.0,2018-10-29,60545.0
2018-11-04,5889.0,2018-10-29,60545.0
2018-11-05,9520.0,2018-11-05,45355.0
2018-11-06,9122.0,2018-11-05,45355.0
2018-11-07,5878.0,2018-11-05,45355.0
2018-11-08,5975.0,2018-11-05,45355.0
2018-11-09,5217.0,2018-11-05,45355.0
2018-11-10,4692.0,2018-11-05,45355.0
2018-11-11,4951.0,2018-11-05,45355.0
2018-11-12,6177.0,2018-11-12,48020.0
2018-11-13,10443.0,2018-11-12,48020.0
2018-11-14,8859.0,2018-11-12,48020.0
2018-11-15,7566.0,2018-11-12,48020.0
2018-11-16,4514.0,2018-11-12,48020.0
2018-11-17,6953.0,2018-11-12,48020.0
2018-11-18,3508.0,2018-11-12,48020.0
2018-11-19,14616.0,2018-11-19,68278.0
2018-11-20,7279.0,2018-11-19,68278.0
2018-11-21,7677.0,2018-11-19,68278.0
2018-11-22,19955.0,2018-11-19,68278.0
2018-11-23,5087.0,2018-11-19,68278.0
2018-11-24,5008.0,2018-11-19,68278.0
2018-11-25,8656.0,2018-11-19,68278.0
